               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 139,            0.034602,            0.017956,           0.0024341,             0.77463,             0.67618,             0.73674,             0.48672,             0.05931,            0.015958,            0.014184,           0.0029706,           0.0029706,           0.0029706
                 140,            0.034772,            0.017853,           0.0026124,             0.79784,             0.66626,             0.73786,             0.49068,            0.061977,            0.015793,            0.015818,           0.0029125,           0.0029125,           0.0029125
                 141,            0.034291,            0.017686,           0.0026032,              0.8193,             0.68564,             0.75037,             0.49753,            0.059781,            0.015308,            0.013588,            0.002855,            0.002855,            0.002855
                 142,            0.034808,            0.017684,           0.0026186,             0.84971,             0.63014,             0.73468,             0.49584,            0.061288,            0.015224,            0.014739,           0.0027981,           0.0027981,           0.0027981
                 143,            0.034238,            0.017631,           0.0023396,             0.75717,             0.70148,             0.73216,             0.48617,            0.061785,            0.015434,            0.014562,           0.0027419,           0.0027419,           0.0027419
                 144,            0.034176,            0.018009,           0.0025275,             0.81183,             0.63668,             0.72531,              0.4839,            0.062745,            0.015659,             0.01416,           0.0026864,           0.0026864,           0.0026864
                 145,            0.034264,            0.017852,           0.0024984,             0.77884,             0.67917,             0.72857,             0.48729,             0.06194,            0.015468,            0.015084,           0.0026316,           0.0026316,           0.0026316
                 146,            0.033047,            0.017347,           0.0023641,             0.77787,             0.68486,             0.72993,             0.48357,            0.062259,            0.015767,            0.015291,           0.0025775,           0.0025775,           0.0025775
                 147,            0.033353,            0.017461,           0.0023335,             0.80161,             0.65686,             0.73372,             0.48181,            0.058754,             0.01606,            0.015302,           0.0025241,           0.0025241,           0.0025241
                 148,            0.033647,            0.017594,           0.0023097,             0.80477,             0.67072,              0.7377,             0.48569,            0.061517,            0.015732,            0.015958,           0.0024714,           0.0024714,           0.0024714
                 149,             0.03293,            0.017446,           0.0023131,             0.82359,             0.61635,             0.72048,             0.48165,             0.06101,            0.015125,             0.01585,           0.0024195,           0.0024195,           0.0024195
                 150,            0.032629,            0.017381,           0.0023517,             0.82445,             0.64787,             0.74314,             0.50125,            0.059614,            0.015581,            0.014441,           0.0023684,           0.0023684,           0.0023684
                 151,            0.033431,            0.017516,           0.0023963,             0.76997,             0.65714,             0.72942,             0.49132,            0.058018,            0.015932,            0.014665,            0.002318,            0.002318,            0.002318
                 152,            0.032476,            0.017466,            0.002189,             0.77805,             0.67267,             0.73961,              0.4961,            0.057396,            0.015759,            0.014659,           0.0022684,           0.0022684,           0.0022684
                 153,            0.032644,            0.017314,           0.0020204,             0.81504,             0.64302,             0.73201,             0.49591,            0.059917,            0.015775,            0.014445,           0.0022196,           0.0022196,           0.0022196
                 154,            0.032978,            0.017778,           0.0024156,             0.83134,             0.63441,             0.73609,              0.4981,            0.059947,            0.016096,            0.014372,           0.0021717,           0.0021717,           0.0021717
